R---GB,0,3,6,9,C,F
00,*000*,,,,,*F00*
03,*003*,,,,,*F03*
06,,,,,,
09,,,,,,
0C,,,,,,
0F,*00F*,,,,,*F0F*
⋮,⋮,⋮,⋮,⋮,⋮,⋮
F0,*0F0*,,*6F0*,,,*FF0*
F3,,*3F3*,*6F3*,,,*FF3*
F6,*0F6*,*3F6*,,,*CF6*,*FF6*
F9,,,,,,
FC,*0FC*,*3FC*,,,,
FF,*0FF*,*3FF*,*6FF*,,,*FFF*
