0,1
Basic terms,Blue Green Red Yellow Pink Purple Orange Black Gray White Brown
Cultural differences,Linguistic relativity and the color naming debate Blue–green distinction in language Color history Blue in culture Color in Chinese culture Traditional colors of Japan Human skin color Colorism
Color dimensions,"Hue Dichromatism Colorfulness Pastel colors Luminance Lightness Darkness Brightness Iridescence Fluorescence Grayscale Tint, shade and tone"
