0,1
Color scheme,Color tool Monochromatic colors black-and-white Complementary colors Analogous colors Achromatic colors (Neutral) Polychromatic colors Light-on-dark Web colors Tinctures in heraldry
Color theory,Color mixing Primary color Secondary color Tertiary color Chromaticity Color solid Color wheel Color triangle Color analysis (fashion) Color realism (art style) On Vision and Colours (Schopenhauer) Theory of Colours (Goethe)
